,사업장명,업태구분명,업소URL,지번주소,도로명주소,대표메뉴,가격정보,메뉴라벨링,외식비
47,향토밥상,한식,1006833539,서울특별시 동작구 노량진동 58-10번지 1층 ,서울특별시 동작구 노량진로14길 14 (노량진동 1층),삼겹살쌈밥 된장찌개,"8,000원",삼겹살,18056
48,정다운식당,한식,20937624,서울특별시 동작구 상도동 169-31 ,서울특별시 동작구 상도로30길 22 (상도동),,,,
49,현주네김밥,한식,933257177,서울특별시 동작구 흑석동 95-16 ,서울특별시 동작구 서달로12가길 7 (흑석동),유부김밥,"3,500원",김밥,2969
50,명가,한식,21864943,서울특별시 동작구 신대방동 395-69번지 ,서울특별시 동작구 보라매로5가길 16 (신대방동),,,,
51,초록애,한식,12054228,서울특별시 동작구 대방동 341-1번지 ,서울특별시 동작구 여의대방로54길 5 (대방동),김치찌개,7000원,,
52,미자네식당,한식,1640400712,서울특별시 동작구 상도동 235-37 상현빌딩 ,서울특별시 동작구 성대로29길 1 상현빌딩 1층 (상도동),돼지김치찌개,8000원,,
53,돈오비,한식,1057621158,서울특별시 동작구 노량진동 240-51 ,서울특별시 동작구 장승배기로 155 (노량진동),,,,
54,전주전집,한식,13419356,서울특별시 동작구 사당동 1032-1번지 ,서울특별시 동작구 동작대로7길 19 (사당동),,,,
55,토담,한식,277763755,서울특별시 동작구 노량진동 330번지 지하1층 제지하22호 ,서울특별시 동작구 만양로 84 (노량진동 지하1층 제지하22호),,,,
56,육쌈냉면,한식,20873032,서울특별시 동작구 사당동 139-19번지 외 1필지 1층 ,서울특별시 동작구 동작대로27다길 2 (사당동외 1필지 1층),물냉면+숯불고기,"7,000원",냉면,10423
57,이수 생삼겹살,한식,1995629009,서울특별시 동작구 사당동 1006-8 ,서울특별시 동작구 동작대로23길 23 1층 (사당동),급랭삼겹살(칠레산),"7,000원",삼겹살,18056
58,김가네김밥,한식,1712090053,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트 ,서울특별시 동작구 상도로30길 40 1층 120호 (상도동 상도2차두산위브트레지움아파트),김가네김밥,변동,김밥,2969
59,양푼이 식당,한식,19030945,서울특별시 동작구 사당동 1019-9 ,서울특별시 동작구 사당로30길 81 (사당동),생고기 김치찌개,7000원,,
60,오늘쉐프,한식,1072320964,서울특별시 동작구 사당동 268-30 ,서울특별시 동작구 사당로16가길 24 1층 (사당동),,,,
61,황새골손칼국수,한식,32117320,서울특별시 동작구 상도동 477-17 ,서울특별시 동작구 상도로37길 74 (상도동),해물손칼국수,90000원,,
62,윤공,한식,1226807259,서울특별시 동작구 사당동 1032-45 ,서울특별시 동작구 동작대로7길 49 1층 (사당동),,,,
63,부산일번지,한식,1892582024,서울특별시 동작구 노량진동 13-6 ,서울특별시 동작구 노들로 674 지상2층 14호 (노량진동),,,,
64,원조마포갈비,한식,20834283,서울특별시 동작구 노량진동 36-5 ,서울특별시 동작구 노량진로8길 35 (노량진동),부추비빔밥,8000원,,
65,효례국밥,한식,1155854043,서울특별시 동작구 노량진동 127-9 ,서울특별시 동작구 만양로14길 39 1층 (노량진동),,,,
66,터널돼지갈비,한식,1841277811,서울특별시 동작구 상도1동 721-1 ,서울특별시 동작구 양녕로 247-1 지상1층 (상도1동),,,,
67,보드람치킨,한식,11803167,서울특별시 동작구 노량진동 89-2 ,서울특별시 동작구 노량진로16길 26 (노량진동),,,,
68,부자왕만두냉면,한식,1103678052,서울특별시 동작구 노량진동 41-5번지 ,서울특별시 동작구 노량진로 110 1층 112호 (노량진동),물냉면,6000원,,
69,유가네한우곰탕 노량진점,한식,1513817684,서울특별시 동작구 노량진동 56-14번지 지하1층 ,서울특별시 동작구 장승배기로28길 19 (노량진동 지하1층),,,,
70,삼통치킨.사당역점,한식,211776257,서울특별시 동작구 사당동 1032-13번지 ,서울특별시 동작구 동작대로7길 35 (사당동),,,,
71,우리 학사주점,한식,1242771730,서울특별시 동작구 노량진동 125-14,서울특별시 동작구 만양로14가길 18 (노량진동),비빔밥,"5,000원",비빔밥,9654
72,곱창스토브(stove),한식,37815352,서울특별시 동작구 흑석동 106-32번지 ,서울특별시 동작구 서달로15길 12 (흑석동),,,,
